datetime,water_level,pressure,water_temp
2022-01-01 00:00:00,1.622,1014.7,8.4
2022-01-01 01:00:00,1.304,1014.6,8.5
2022-01-01 02:00:00,0.926,1014.1,8.5
2022-01-01 03:00:00,0.58,1014.1,8.5
2022-01-01 04:00:00,0.337,1013.7,8.4
2022-01-01 05:00:00,0.19,1013.0,8.4
2022-01-01 06:00:00,0.288,1012.9,8.3
2022-01-01 07:00:00,0.645,1012.7,8.1
2022-01-01 08:00:00,1.126,1012.1,8.2
2022-01-01 09:00:00,1.581,1011.7,8.1
2022-01-01 10:00:00,1.927,1011.2,8.3
2022-01-01 11:00:00,2.12,1010.3,8.4
2022-01-01 12:00:00,2.154,1010.5,8.4
2022-01-01 13:00:00,1.913,1010.1,8.7
2022-01-01 14:00:00,1.565,1010.5,8.6
2022-01-01 15:00:00,1.068,1011.2,8.7
2022-01-01 16:00:00,0.685,1009.5,8.5
2022-01-01 17:00:00,0.358,1008.7,8.5
2022-01-01 18:00:00,0.11,1007.8,8.5
2022-01-01 19:00:00,0.158,1007.2,8.4
2022-01-01 20:00:00,0.577,1006.5,8.3
2022-01-01 21:00:00,1.086,1006.3,8.1
2022-01-01 22:00:00,1.54,1006.2,8.3
2022-01-01 23:00:00,1.781,1006.6,8.3
2022-01-02 00:00:00,1.828,1006.2,8.5
2022-01-02 01:00:00,1.693,1005.2,8.5
2022-01-02 02:00:00,1.397,1003.8,8.6
2022-01-02 03:00:00,0.982,1002.9,8.6
2022-01-02 04:00:00,0.668,1002.1,8.6
2022-01-02 05:00:00,0.472,1000.4,8.5
2022-01-02 06:00:00,0.296,1000.5,8.5
2022-01-02 07:00:00,0.321,1000.5,8.5
2022-01-02 08:00:00,0.677,1001.0,8.2
2022-01-02 09:00:00,1.179,1001.3,8.3
2022-01-02 10:00:00,1.704,1001.2,8.2
2022-01-02 11:00:00,2.061,1001.4,8.4
2022-01-02 12:00:00,2.219,1001.4,8.4
2022-01-02 13:00:00,2.259,1001.9,8.5
2022-01-02 14:00:00,1.962,1002.1,8.8
2022-01-02 15:00:00,1.543,1003.6,8.7
2022-01-02 16:00:00,1.044,1003.6,8.7
2022-01-02 17:00:00,0.661,1003.0,8.6
2022-01-02 18:00:00,0.286,1003.0,8.6
2022-01-02 19:00:00,0.058,1003.5,8.6
2022-01-02 20:00:00,0.146,1004.3,8.5
2022-01-02 21:00:00,0.56,1005.5,8.4
2022-01-02 22:00:00,1.064,1007.5,8.2
2022-01-02 23:00:00,1.436,1009.6,8.3
2022-01-03 00:00:00,1.679,1011.5,8.4
2022-01-03 01:00:00,1.689,1013.2,8.5
2022-01-03 02:00:00,1.431,1013.9,8.6
2022-01-03 03:00:00,1.104,1014.7,8.6
2022-01-03 04:00:00,0.656,1015.5,8.5
2022-01-03 05:00:00,0.38,1016.5,8.3
2022-01-03 06:00:00,0.173,1017.6,8.2
2022-01-03 07:00:00,0.016,1019.3,8.0
2022-01-03 08:00:00,0.127,1019.2,7.8
2022-01-03 09:00:00,0.531,1018.2,7.9
