"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","REPORT_TYPE","SOURCE","HourlyAltimeterSetting","HourlyDewPointTemperature","HourlyDryBulbTemperature","HourlyPrecipitation","HourlyPresentWeatherType","HourlyPressureChange","HourlyPressureTendency","HourlyRelativeHumidity","HourlySkyConditions","HourlySeaLevelPressure","HourlyStationPressure","HourlyVisibility","HourlyWetBulbTemperature","HourlyWindDirection","HourlyWindGustSpeed","HourlyWindSpeed","Sunrise","Sunset","DailyAverageDewPointTemperature","DailyAverageDryBulbTemperature","DailyAverageRelativeHumidity","DailyAverageSeaLevelPressure","DailyAverageStationPressure","DailyAverageWetBulbTemperature","DailyAverageWindSpeed","DailyCoolingDegreeDays","DailyDepartureFromNormalAverageTemperature","DailyHeatingDegreeDays","DailyMaximumDryBulbTemperature","DailyMinimumDryBulbTemperature","DailyPeakWindDirection","DailyPeakWindSpeed","DailyPrecipitation","DailySnowDepth","DailySnowfall","DailySustainedWindDirection","DailySustainedWindSpeed","DailyWeather","MonthlyAverageRH","MonthlyDaysWithGT001Precip","MonthlyDaysWithGT010Precip","MonthlyDaysWithGT32Temp","MonthlyDaysWithGT90Temp","MonthlyDaysWithLT0Temp","MonthlyDaysWithLT32Temp","MonthlyDepartureFromNormalAverageTemperature","MonthlyDepartureFromNormalCoolingDegreeDays","MonthlyDepartureFromNormalHeatingDegreeDays","MonthlyDepartureFromNormalMaximumTemperature","MonthlyDepartureFromNormalMinimumTemperature","MonthlyDepartureFromNormalPrecipitation","MonthlyDewpointTemperature","MonthlyGreatestPrecip","MonthlyGreatestPrecipDate","MonthlyGreatestSnowDepth","MonthlyGreatestSnowDepthDate","MonthlyGreatestSnowfall","MonthlyGreatestSnowfallDate","MonthlyMaxSeaLevelPressureValue","MonthlyMaxSeaLevelPressureValueDate","MonthlyMaxSeaLevelPressureValueTime","MonthlyMaximumTemperature","MonthlyMeanTemperature","MonthlyMinSeaLevelPressureValue","MonthlyMinSeaLevelPressureValueDate","MonthlyMinSeaLevelPressureValueTime","MonthlyMinimumTemperature","MonthlySeaLevelPressure","MonthlyStationPressure","MonthlyTotalLiquidPrecipitation","MonthlyTotalSnowfall","MonthlyWetBulb","AWND","CDSD","CLDD","DSNW","HDSD","HTDD","DYTS","DYHF","NormalsCoolingDegreeDay","NormalsHeatingDegreeDay","ShortDurationEndDate005","ShortDurationEndDate010","ShortDurationEndDate015","ShortDurationEndDate020","ShortDurationEndDate030","ShortDurationEndDate045","ShortDurationEndDate060","ShortDurationEndDate080","ShortDurationEndDate100","ShortDurationEndDate120","ShortDurationEndDate150","ShortDurationEndDate180","ShortDurationPrecipitationValue005","ShortDurationPrecipitationValue010","ShortDurationPrecipitationValue015","ShortDurationPrecipitationValue020","ShortDurationPrecipitationValue030","ShortDurationPrecipitationValue045","ShortDurationPrecipitationValue060","ShortDurationPrecipitationValue080","ShortDurationPrecipitationValue100","ShortDurationPrecipitationValue120","ShortDurationPrecipitationValue150","ShortDurationPrecipitationValue180","REM","BackupDirection","BackupDistance","BackupDistanceUnit","BackupElements","BackupElevation","BackupEquipment","BackupLatitude","BackupLongitude","BackupName","WindEquipmentChangeDate"
"91182022521","2023-01-01T00:53:00","21.32402","-157.93946","1.9","HONOLULU INTERNATIONAL AIRPORT, HI US","FM-15","7","30.08","66","67","0.00","FU:3 |HZ FU |FU","","","97","FEW:02 2 FEW:02 24","30.08","30.06","6.00","66","300","","5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","MET11701/01/23 00:53:02 METAR PHNL 011053Z 30004KT 6SM FU FEW002 FEW024 19/19 A3008 RMK AO2 SLP186 FEW002 FU T01940189 (AI)","SE","0.86","mi","PRECIP","10","SRG","21.3219","-157.9253","CONTRACTOR","2009-05-12"
"91182022521","2023-01-01T01:53:00","21.32402","-157.93946","1.9","HONOLULU INTERNATIONAL AIRPORT, HI US","FM-15","7","30.08","66","67","0.00","FU:3 |HZ FU |FU","+0.02","6","97","FEW:02 1 FEW:02 24","30.07","30.06","3.00","66","340","","7","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","MET13501/01/23 01:53:02 METAR PHNL 011153Z 34006KT 3SM FU FEW001 FEW024 19/19 A3008 RMK AO2 SLP184 FEW001 FU T01940189 10233 20194 56007 (AI)","SE","0.86","mi","PRECIP","10","SRG","21.3219","-157.9253","CONTRACTOR","2009-05-12"
"91182022521","2023-01-01T02:00:00","21.32402","-157.93946","1.9","HONOLULU INTERNATIONAL AIRPORT, HI US","FM-12","4","","66","67","","||FU","+0.02","6","97","1","30.07","30.06","2.98","66","340","","7","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","SYN08091182 31048 23406 10194 20189 30181 40184 56007 704// 91153 333 20194 555 90112=","SE","0.86","mi","PRECIP","10","SRG","21.3219","-157.9253","CONTRACTOR","2009-05-12"
"91182022521","2023-01-01T02:53:00","21.32402","-157.93946","1.9","HONOLULU INTERNATIONAL AIRPORT, HI US","FM-15","7","30.07","66","67","0.00","FU:3 |HZ FU |FU","","","97","FEW:02 1 FEW:02 24","30.06","30.05","3.00","66","340","","6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","MET11701/01/23 02:53:02 METAR PHNL 011253Z 34005KT 3SM FU FEW001 FEW024 19/19 A3007 RMK AO2 SLP181 FEW001 FU T01940189 (AI)","SE","0.86","mi","PRECIP","10","SRG","21.3219","-157.9253","CONTRACTOR","2009-05-12"
"91182022521","2023-01-01T03:09:00","21.32402","-157.93946","1.9","HONOLULU INTERNATIONAL AIRPORT, HI US","FM-15","4","30.07","66","66","","||FU","","","100","","","","2.00","","350","","5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","MET050METAR PHNL 011309Z 35004KT 2SM FU CLR 19/19 A3007=","SE","0.86","mi","PRECIP","10","SRG","21.3219","-157.9253","CONTRACTOR","2009-05-12"
"91182022521","2023-01-01T03:09:00","21.32402","-157.93946","1.9","HONOLULU INTERNATIONAL AIRPORT, HI US","FM-16","4","30.07","66","67","","","","","97","","","","42.00","","350","","5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","MET073SPECI PHNL 011309Z COR 35004KT 42SM FEW024 19/19 A3007 RMK AO2 T01940189=","SE","0.86","mi","PRECIP","10","SRG","21.3219","-157.9253","CONTRACTOR","2009-05-12"
"91182022521","2023-01-01T03:51:00","21.32402","-157.93946","1.9","HONOLULU INTERNATIONAL AIRPORT, HI US","FM-16","6","30.06","66","66","","","","","100","FEW:02 24","","30.04","10.00","66","350","","5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","MET08601/01/23 03:51:02 SPECI PHNL 011351Z 35004KT 10SM FEW024 19/19 A3006 RMK AO2 FIBI (AI)","SE","0.86","mi","PRECIP","10","SRG","21.3219","-157.9253","CONTRACTOR","2009-05-12"
"91182022521","2023-01-01T03:53:00","21.32402","-157.93946","1.9","HONOLULU INTERNATIONAL AIRPORT, HI US","FM-15","7","30.06","66","66","0.00","","","","100","FEW:02 24","30.06","30.04","10.00","66","350","","5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","MET09801/01/23 03:53:02 METAR PHNL 011353Z 35004KT 10SM FEW024 19/19 A3006 RMK AO2 SLP178 T01890189 (AI)","SE","0.86","mi","PRECIP","10","SRG","21.3219","-157.9253","CONTRACTOR","2009-05-12"
"91182022521","2023-01-01T04:53:00","21.32402","-157.93946","1.9","HONOLULU INTERNATIONAL AIRPORT, HI US","FM-15","7","30.06","65","65","0.00","","+0.01","5","100","FEW:02 24","30.06","30.04","10.00","65","000","","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","MET10401/01/23 04:53:02 METAR PHNL 011453Z 00000KT 10SM FEW024 18/18 A3006 RMK AO2 SLP180 T01830183 55004 (AI)","SE","0.86","mi","PRECIP","10","SRG","21.3219","-157.9253","CONTRACTOR","2009-05-12"
"91182022521","2023-01-01T05:53:00","21.32402","-157.93946","1.9","HONOLULU INTERNATIONAL AIRPORT, HI US","FM-15","7","30.07","64","64","0.00","","","","100","FEW:02 24","30.06","30.05","10.00","64","310","","5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","MET09801/01/23 05:53:02 METAR PHNL 011553Z 31004KT 10SM FEW024 18/18 A3007 RMK AO2 SLP181 T01780178 (AI)","SE","0.86","mi","PRECIP","10","SRG","21.3219","-157.9253","CONTRACTOR","2009-05-12"
